Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,DATE,DateTime
00:11:00,14.444444444444445,11.11111111111111,81 ,NNE,6 ,0 ,30.21 ,0.0 ,Mostly Cloudy,2020-05-25,2020-05-25 00:11:00
00:51:00,14.444444444444445,11.11111111111111,81 ,NE,7 ,0 ,30.20 ,0.0 ,Cloudy,2020-05-25,2020-05-25 00:51:00
01:51:00,14.444444444444445,11.11111111111111,81 ,NE,12 ,0 ,30.19 ,0.0 ,Cloudy,2020-05-25,2020-05-25 01:51:00
02:08:00,13.88888888888889,11.666666666666666,87 ,NE,12 ,0 ,30.19 ,0.0 ,Light Drizzle,2020-05-25,2020-05-25 02:08:00
02:34:00,13.333333333333334,11.666666666666666,90 ,NE,15 ,0 ,30.19 ,0.0 ,Light Drizzle,2020-05-25,2020-05-25 02:34:00
02:51:00,13.333333333333334,11.666666666666666,90 ,NE,13 ,0 ,30.19 ,0.0 ,Light Drizzle,2020-05-25,2020-05-25 02:51:00
03:51:00,13.333333333333334,11.666666666666666,90 ,NE,16 ,0 ,30.19 ,0.0 ,Light Drizzle,2020-05-25,2020-05-25 03:51:00
04:09:00,13.333333333333334,11.666666666666666,90 ,NE,13 ,0 ,30.19 ,0.0 ,Light Drizzle,2020-05-25,2020-05-25 04:09:00
04:51:00,13.333333333333334,11.666666666666666,90 ,ENE,13 ,0 ,30.18 ,0.0 ,Light Drizzle,2020-05-25,2020-05-25 04:51:00
05:51:00,13.333333333333334,11.666666666666666,90 ,ENE,10 ,0 ,30.19 ,0.0 ,Cloudy,2020-05-25,2020-05-25 05:51:00
06:51:00,13.88888888888889,11.666666666666666,87 ,NE,9 ,0 ,30.21 ,0.0 ,Cloudy,2020-05-25,2020-05-25 06:51:00
06:58:00,13.88888888888889,11.666666666666666,87 ,ENE,8 ,0 ,30.22 ,0.0 ,Cloudy,2020-05-25,2020-05-25 06:58:00
07:26:00,13.88888888888889,12.22222222222222,89 ,NE,8 ,0 ,30.23 ,0.0 ,Light Drizzle,2020-05-25,2020-05-25 07:26:00
07:40:00,13.88888888888889,12.22222222222222,89 ,ENE,9 ,0 ,30.23 ,0.0 ,Light Drizzle,2020-05-25,2020-05-25 07:40:00
07:51:00,13.88888888888889,12.22222222222222,89 ,ENE,7 ,0 ,30.23 ,0.0 ,Light Drizzle,2020-05-25,2020-05-25 07:51:00
08:08:00,13.88888888888889,12.22222222222222,89 ,NE,8 ,0 ,30.23 ,0.0 ,Cloudy,2020-05-25,2020-05-25 08:08:00
08:51:00,14.444444444444445,12.22222222222222,87 ,ENE,9 ,0 ,30.22 ,0.0 ,Cloudy,2020-05-25,2020-05-25 08:51:00
09:51:00,15.0,12.22222222222222,83 ,ENE,10 ,0 ,30.21 ,0.0 ,Cloudy,2020-05-25,2020-05-25 09:51:00
10:20:00,16.11111111111111,11.666666666666666,75 ,ENE,12 ,0 ,30.20 ,0.0 ,Cloudy,2020-05-25,2020-05-25 10:20:00
10:51:00,15.555555555555555,11.666666666666666,78 ,NE,8 ,0 ,30.21 ,0.0 ,Cloudy,2020-05-25,2020-05-25 10:51:00
11:51:00,16.666666666666668,12.22222222222222,75 ,NE,9 ,0 ,30.22 ,0.0 ,Cloudy,2020-05-25,2020-05-25 11:51:00
12:30:00,17.22222222222222,12.22222222222222,72 ,NE,9 ,0 ,30.21 ,0.0 ,Cloudy,2020-05-25,2020-05-25 12:30:00
12:51:00,17.22222222222222,12.22222222222222,72 ,NE,9 ,0 ,30.22 ,0.0 ,Mostly Cloudy,2020-05-25,2020-05-25 12:51:00
13:51:00,17.77777777777778,12.22222222222222,70 ,NE,12 ,0 ,30.22 ,0.0 ,Mostly Cloudy,2020-05-25,2020-05-25 13:51:00
14:15:00,18.33333333333333,12.22222222222222,68 ,NE,12 ,0 ,30.21 ,0.0 ,Partly Cloudy,2020-05-25,2020-05-25 14:15:00
14:51:00,18.33333333333333,12.77777777777778,70 ,ENE,12 ,0 ,30.21 ,0.0 ,Partly Cloudy,2020-05-25,2020-05-25 14:51:00
15:51:00,18.88888888888889,12.77777777777778,68 ,ENE,10 ,0 ,30.18 ,0.0 ,Partly Cloudy,2020-05-25,2020-05-25 15:51:00
16:51:00,18.88888888888889,12.77777777777778,68 ,NE,12 ,0 ,30.15 ,0.0 ,Partly Cloudy,2020-05-25,2020-05-25 16:51:00
17:51:00,17.77777777777778,12.77777777777778,72 ,ENE,12 ,0 ,30.15 ,0.0 ,Partly Cloudy,2020-05-25,2020-05-25 17:51:00
